date,constituents
2005-01-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JPM', 'K', 'KEY', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2005-04-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JPM', 'K', 'KEY', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2005-07-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JPM', 'K', 'KEY', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2005-10-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JPM', 'K', 'KEY', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2006-01-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AMP', 'AMZN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JPM', 'K', 'KEY', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LEN', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2006-04-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AMP', 'AMZN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'EL', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JPM', 'K', 'KEY', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LEN', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VRSN', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2006-07-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AMP', 'AMZN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'BXP', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'EL', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GOOG', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JNPR', 'JPM', 'K', 'KEY', 'KIM', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LEN', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VRSN', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2006-10-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AMP', 'AMZN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'BXP', 'C', 'CAG', 'CAH', 'CAT', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CME', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'EL', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GOOG', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JNPR', 'JPM', 'K', 'KEY', 'KIM', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LEN', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VRSN', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2007-01-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AMP', 'AMZN', 'AON', 'APA', 'APD', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'BXP', 'C', 'CAG', 'CAH', 'CAT', 'CBRE', 'CCL', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CME', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CTSH', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'EL', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FIS', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GOOG', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JNPR', 'JPM', 'K', 'KEY', 'KIM', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LEN', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VRSN', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
2007-04-01,"['A', 'AAPL', 'ABT', 'ADBE', 'ADI', 'ADM', 'ADP', 'ADSK', 'AEE', 'AEP', 'AES', 'AFL', 'AIG', 'ALL', 'AMAT', 'AMGN', 'AMP', 'AMZN', 'AON', 'APA', 'APD', 'AVB', 'AVY', 'AXP', 'AZO', 'BA', 'BAC', 'BALL', 'BAX', 'BBY', 'BDX', 'BEN', 'BF-B', 'BIIB', 'BK', 'BMY', 'BSX', 'BXP', 'C', 'CAG', 'CAH', 'CAT', 'CBRE', 'CCL', 'CHRW', 'CI', 'CINF', 'CL', 'CLX', 'CMCSA', 'CME', 'CMI', 'CMS', 'CNP', 'COF', 'COP', 'COR', 'COST', 'CPB', 'CSCO', 'CSX', 'CTAS', 'CTSH', 'CVS', 'CVX', 'DE', 'DGX', 'DHI', 'DHR', 'DIS', 'DOV', 'DRI', 'DTE', 'DUK', 'DVN', 'EA', 'EBAY', 'ECL', 'ED', 'EFX', 'EIX', 'EL', 'ELV', 'EMN', 'EMR', 'EOG', 'EQR', 'ETN', 'ETR', 'EXC', 'F', 'FDX', 'FE', 'FI', 'FIS', 'FITB', 'GD', 'GE', 'GEN', 'GILD', 'GIS', 'GL', 'GLW', 'GOOG', 'GPC', 'GS', 'GWW', 'HAL', 'HAS', 'HBAN', 'HD', 'HES', 'HIG', 'HON', 'HPQ', 'HST', 'HSY', 'IBM', 'IFF', 'INTC', 'INTU', 'IP', 'IPG', 'ITW', 'JNJ', 'JNPR', 'JPM', 'K', 'KEY', 'KIM', 'KLAC', 'KMB', 'KO', 'KR', 'L', 'LEN', 'LH', 'LIN', 'LLY', 'LMT', 'LOW', 'LUV', 'MAR', 'MAS', 'MCD', 'MCK', 'MCO', 'MDT', 'MET', 'MKC', 'MMC', 'MMM', 'MO', 'MRK', 'MS', 'MSFT', 'MSI', 'MTB', 'MU', 'NEE', 'NEM', 'NI', 'NKE', 'NOC', 'NSC', 'NTAP', 'NTRS', 'NUE', 'NVDA', 'OMC', 'ORCL', 'OXY', 'PARA', 'PAYX', 'PCAR', 'PEG', 'PEP', 'PFE', 'PFG', 'PG', 'PGR', 'PH', 'PHM', 'PLD', 'PNC', 'PNW', 'PPG', 'PPL', 'PRU', 'PSA', 'QCOM', 'RF', 'RL', 'ROK', 'RTX', 'RVTY', 'SBUX', 'SCHW', 'SHW', 'SLB', 'SNA', 'SO', 'SPG', 'SPGI', 'STT', 'STZ', 'SWK', 'SYK', 'SYY', 'T', 'TAP', 'TFC', 'TGT', 'TJX', 'TMO', 'TPR', 'TRV', 'TSN', 'TXN', 'TXT', 'UNH', 'UNP', 'UPS', 'USB', 'VLO', 'VMC', 'VRSN', 'VTRS', 'VZ', 'WAT', 'WBA', 'WFC', 'WM', 'WMB', 'WMT', 'WY', 'XEL', 'XOM', 'YUM', 'ZBH']"
