quality_net_profit_to_total_revenue,quality_DECM,quality_ROE,quality_ROA,quality_ACCA,quality_GMI,stock_net_asset_per_share,stock_net_operate_cash_flow_per_share,stock_eps,stock_retained_earnings_per_share,stock_cashflow_per_share,stock_market_cap,growth_PEG,growth_net_profit_growth_rate,growth_total_revenue_growth_rate,growth_net_asset_growth_rate,growth_net_operate_cashflow_growth_rate,emotional_VOL20,emotional_DAVOL20,emotional_VOSC,emotional_VMACD,emotional_ATR14,risk_Variance60,risk_sharpe_ratio_20,risk_Kurtosis60,risk_Skewness60,risk_sharpe_ratio_60,momentum_ROC60,momentum_Volume1Q,momentum_TRIX30,momentum_Price1Q,momentum_PLRC36,technical_MAC60,technical_boll_up,technical_boll_down,technical_MFI42,ticker,date
0.18917311124330755,0.49412455934195065,0.05276256844201095,0.02669128756085278,-0.009484639919422527,-0.003706046868185764,20.782758620689656,1.486206896551724,1.12,3.1586206896551725,1.486206896551724,37789900000.0,0.9256198347107439,0.905982905982906,0.9882422104644327,1.0218718209562563,-0.10395010395010396,,,,0.0,,,,,,,,,,,,0.0,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,-1347.582264957251,,,,,,,,,-0.0012803901251239314,,,-0.008226495726503913,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,-2979.9989816006273,,,,,,,,,-0.0009838084046587259,,,-0.012431886736052888,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,-3801.1891350166406,,,,,,,,,-0.0006794196009538567,,,-0.007478548872526858,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,-7608.563684730558,,,,,,,,,-0.0005404049183077575,,,-0.011013644410994061,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,-3889.487444478087,,,,,,,,,-0.0004561478283476861,,,-0.013377038639163175,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,5102.043418407906,,,,,,,,,-0.0003939463320172809,,,-0.013999525698309867,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,17430.272788083646,,,,,,,,,-0.0003327009234034284,,,-0.008610536145823744,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,53208.24650999927,,,,,,,,,-0.0002418090157572106,,,0.017535693185635637,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,54827.679715413135,,,,,,,,,-0.0001579664092339339,,,0.032840212623597154,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,48829.85533022974,,,,,,,,,-0.0001140819912623936,,,0.018591428494843854,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,48110.16736892681,,,,,,,,,-8.985958452234488e-05,,,0.00936560415210863,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,38261.674475573236,,,,,,,,,-8.446107917481349e-05,,,-0.008465863392459028,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,30085.82382284105,1.9150000000000023,,,,,,,,-7.11406511189061e-05,,,0.004688922830496267,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,26905.27121716086,2.026428571428574,,,,,,,,-5.1303481576225884e-05,,,0.021076459142605586,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,25592.115576926153,2.0914285714285725,,,,,,,,-4.8302612818740265e-05,,,-0.005002900388234366,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,17748.78942657984,2.1428571428571437,,,,,,,,-5.0764223337496084e-05,,,-0.016971989401625365,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,23849.25670050457,2.1578571428571434,,,,,,,,-7.377038259237523e-05,,,-0.071629353018281,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,,,12528.782274648082,2.176428571428571,,,,,,,,-0.00010389586982872956,,,-0.10571798089736717,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,,1602742.95,,9547.430537911365,2.218571428571429,,,,,,,,-0.0001462730518617672,,,-0.16250567741076338,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.010214206791521267,1624172.95,,10896.38108091522,2.2357142857142853,,-2.117727997632418,,,,,,-0.00018975690409139823,,,-0.19418383860553945,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.010216905233625253,1655507.5,,12376.217274782015,2.29642857142857,,-2.0379919003705984,,,,,,-0.0002284706313298024,,,-0.20739806085965995,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.010694399209893695,1794059.2,,50310.316251959885,2.4378571428571405,,-1.8782116774625581,,,,,,-0.000255348168829328,,,-0.19072609977796162,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.011870148502475045,1793090.35,,32516.654313953593,2.415714285714284,,-1.8149844221707536,,,,,,-0.00028576107180589005,,,-0.22709433314783212,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.01187933488673117,1899535.35,,51478.47634098283,2.5735714285714275,,-1.7854141510014434,,,,,,-0.0003165496498961362,,,-0.25404272023514807,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.011912665362412552,2117434.05,,118672.50829597679,3.0264285714285686,,-1.7679483075008935,,,,,,-0.0003453028077147202,,,-0.2713195818263472,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.012749387656021075,2196847.4,,134768.4600803957,2.9807142857142828,,-1.7387285450266643,,,,,,-0.0003814249341769216,,,-0.332878788434428,,,,A,2020-12-31
,,,,,,,,,,,,,,,,,0.012848894629240768,2231530.0,,139665.76243176218,3.1385714285714266,,-1.7846335509498459,,,,,,-0.00042685651595109064,,,-0.41239747969362384,,,,A,2020-12-31
