date,Ticker,net_profit_to_total_revenue,DECM,ROE,ROA,ACCA,GMI,financial_liability,net_profit,EBIT,LTD/TA,WCR,QR,EV/OCL,D/E,P/E,P/S,PriceToCashFlow,priceToBook,open,high,low,close,volume,net_asset_per_share,net_operate_cash_flow_per_share,eps,retained_earnings_per_share,cashflow_per_share,market_cap,PEG,net_profit_growth_rate,total_revenue_growth_rate,net_asset_growth_rate,net_operate_cashflow_growth_rate,VOL20,DAVOL20,VOSC,VMACD,ATR14,beta,liquidity,growth,momentum,Variance60,sharpe_ratio_20,Kurtosis60,Skewness60,sharpe_ratio_60,ROC60,Volume1Q,TRIX30,Price1Q,PLRC36,MAC60,boll_up,boll_down,MFI42
2022-01-30,AMAT,0.28575984691436773,0.5324052225892717,0.1507148864592094,0.07047349378637723,-0.034056945099889886,-0.00911881041321283,13538000000,1792000000,1972000000,0.5324052225892717,0.1045304388862671,1.4519215436134587,0.19633623873541142,1.1386038687973086,17.13755859375,19.588904480944027,46.21595936794583,10.33154079058032,129.6,132.5,123.85,132.45,13292904,13.374578177727784,2.9898762654668167,2.02,38.05061867266592,2.827896512935883,117748049999.99998,1.0575916230366493,1.0467289719626167,1.0241711579291197,0.9708500040826324,1.3153310104529616,0.037358317601813955,9929099.15,5070627.416666667,970582.3166737966,8.660714285714281,0.019356055060140483,8222276.583333333,-0.03347396290775806,-0.0005578993817959676,0.0010301194637862211,-0.35102414994711995,-0.09497336483188987,-0.14767704834574402,-0.48807109188226583,-0.06203526662417689,493336595.0,0.0009256650059354943,-8.76000000000002,-0.0417950297802423,-0.5008416118374726,166.23066275494978,135.19733724505022,35.795207703179855
2022-05-01,AMAT,0.24595676541232986,0.5451903059821674,0.13265394248207962,0.0603322989905338,0.044031580187752856,-0.003159612684566382,13880000000,1536000000,1894000000,0.5451903059821674,0.01630071880278094,1.611689351481185,0.02989913544668588,1.1987218239917092,16.143824869791665,15.882731785428343,239.0064096385542,8.566168062872443,113.03,116.16,110.16,110.35,7998900,13.187927107061503,0.47266514806378135,1.75,40.01936218678816,0.23348519362186787,96887300000.0,0.8663366336633663,0.8571428571428571,0.995853930792537,0.9738435660218672,-0.8438675696012039,0.028841660861741593,8652665.6,-58978.18333333358,-11804.684327887371,4.4399999999999995,0.019701231601921505,8057878.183333334,-0.2157913526879639,-0.0035965225447993983,0.000920619034397937,-0.4665275535874275,-0.8445760729173842,0.30172905914613596,-0.6164286608554271,-0.21604148905939186,483472691.0,-0.002911848607675571,-30.409999999999997,-0.0387338240121633,-7.05468363529576,146.4211534748513,108.56184652514874,46.375153886803325
2022-07-31,AMAT,0.24631901840490797,0.5386261993043079,0.13305716652858326,0.06138909063109208,0.0052368028745078555,-0.007652011179495766,14091000000,1606000000,1924000000,0.5386261993043079,0.05615228775658423,1.6292944785276073,0.10425094031651409,1.1674399337199668,14.310336239103364,14.09963190184049,62.57971409121852,7.616371168185585,103.5,106.55,103.04,105.98,5817700,13.969907407407407,1.7002314814814814,1.86,42.26851851851852,1.4571759259259258,91566720000.0,1.062857142857143,1.0455729166666667,1.044035228182546,1.0424043527074878,2.539759036144578,0.02795250154609543,6774896.5,-1953033.0999999996,-485637.90779425856,3.6978571428571434,0.01779516432206667,7770733.1,-0.037589270889758275,-0.0006264878481626379,0.0011350871200289734,0.10798394878158446,-0.6071007223827852,-0.026998726367636516,-0.46699226442489367,-0.06871704745166954,466243986.0,-0.003838255887434805,-7.819999999999993,-0.1706242855633363,-6.472664088620704,122.11416298708379,82.68717034624954,45.43870225077894
2022-10-30,AMAT,0.23573862794488074,0.5437401781037192,0.13047400360833197,0.059530045648432235,0.02746389283843448,-0.0015674669367058969,14532000000,1591000000,1994000000,0.5437401781037192,0.03206615280999776,1.8036746184619943,0.05897330030278007,1.1917336394948335,11.8478409805154,11.171975107423322,87.98093348891483,6.183340987370839,86.62,89.93,86.46,89.72,6388600,14.278688524590164,1.0035128805620608,1.86,44.37002341920375,0.7423887587822015,76620880000.0,1.0,0.9906600249066002,1.035122699386503,1.0102734051367026,-0.41660993873383256,0.03492806839539195,10265430.35,-1831568.8499999996,734423.1532042809,4.165000000000001,0.018236442209620476,8220168.85,-0.18601285376410348,-0.0031002142294017246,0.0009080986636672458,0.0035761961696980506,-0.21812316201174461,-0.1639048607786657,-0.6041939300340207,-0.19214838825859898,493210131.0,-0.0037809303367273284,-21.340000000000003,-0.09623153380483584,-5.99145615670912,111.53850105453924,71.09416561212745,49.821944227250356
2023-01-29,AMAT,0.2547855764950289,0.5200114453306628,0.12794336810730253,0.06141135233735112,-0.019778962051575522,0.007210974147274896,14539000000,1717000000,1970000000,0.5200114453306628,0.08119031438892664,1.7204332987090072,0.15613178347891876,1.0833830104321907,13.312317996505534,13.567146460899243,40.277092511013215,6.812891207153502,112.62,113.89,110.7,112.5,8705733,15.881656804733728,2.6863905325443787,2.03,46.61420118343195,2.3467455621301774,95062500000.0,1.0913978494623655,1.0791954745443118,0.9985182990072603,1.1005412497949811,1.6487747957992998,0.02339558902317685,5606070.5,1902701.5499999998,-633451.5187094733,3.587857142857143,0.015131349141497951,6803031.45,0.2704318247942886,0.00450719707990481,0.000948372743007857,0.17720848922020432,2.025522580742033,0.5256347809583204,-0.3441970814081811,0.27420998980632,408181887.0,0.002149543353298977,24.209999999999994,-0.006564043137377795,3.6931433363611035,117.74131919264482,90.84734747402183,53.1874940683274
2023-04-30,AMAT,0.23755656108597284,0.5143338374810945,0.11147285724396631,0.0541385948026949,-0.02464595077684587,-1.9785329178401145e-05,14963000000,1575000000,1911000000,0.5143338374810945,0.07878454557954077,1.7279034690799397,0.15317783866871618,1.059027532026329,15.113785714285713,14.361515837104072,41.54312827225131,6.739107509377876,111.7,113.26,111.12,113.03,8064438,16.76037959667853,2.718861209964413,1.87,48.27520759193357,2.416370106761566,95284290000.0,0.9211822660098523,0.9172976121141526,0.9838254933966464,1.0528315946348734,0.009691629955947079,0.016168722416253698,5850009.2,1516010.3166666664,-172661.16250869073,2.7664285714285697,0.014555964479905268,6548427.683333334,-0.03876142944395666,-0.0006460238240659444,0.0004338102346078493,-0.5407047479415825,-0.6324839306596912,0.23214139770389147,-0.756333451975528,-0.05024787832955217,392905661.0,0.0006538257852235496,-5.980000000000004,-0.01570913517816175,1.5389886098150924,124.35762827947597,109.01470505385736,50.37526220501863
2023-07-30,AMAT,0.24280155642023346,0.5036829990134825,0.10335917312661498,0.051298914830647815,-0.0336402499177902,-0.0034760051880674547,15317000000,1560000000,1802000000,0.5036829990134825,0.08493916474843802,1.751284046692607,0.16863615590520337,1.0148413171668986,20.357759615384616,19.771582879377434,49.180185830429735,8.416644802226198,149.58,153.28,148.7,151.93,7803416,18.01073985680191,3.0823389021479715,1.86,50.105011933174225,2.7780429594272076,127317340000.0,0.9946524064171123,0.9904761904761905,0.969079939668175,1.0682284662750372,0.12696335078534027,0.023598874044506588,6455497.2,1724605.8166666664,184955.94752140436,3.75,0.015256271860903616,6078810.183333334,0.3190235395331511,0.005317058992219185,0.000506311627636569,-0.09075818778983448,0.7942478958359641,0.500643258133516,-0.4350808415243503,0.3545827389443653,364728611.0,0.002981812666900785,39.77000000000001,0.050735818691619805,6.717706107604386,154.26104497136984,114.26328836196352,56.628189523632514
2023-10-29,AMAT,0.29808121374386437,0.46796186013212276,0.122576304361123,0.06521526896417065,0.014611604673110092,0.008176287799996629,14380000000,2004000000,1971000000,0.46796186013212276,0.050603664291060564,1.6605681987208092,0.10813630041724617,0.8795644993577589,13.665304391217564,16.293482076453962,70.44442443729903,6.700170040981099,131.27,133.11,130.56,131.3,4397310,19.55622009569378,1.8600478468899522,2.4,52.303827751196174,1.4904306220095693,109766800000.00002,1.2903225806451613,1.2846153846153847,1.0463813229571985,1.083217385542967,-0.3979868370112273,0.017745698186036735,5578985.6,-1053194.1333333338,-39495.08929100912,4.1271428571428554,0.013737296727466956,5450504.133333334,-0.10754397349794687,-0.0017923995582991145,0.000363447600355006,-0.42297517628006037,0.42665307957801435,-0.27004365438637545,-0.8864407179880884,-0.11169744942832008,327030248.0,-0.0004788172473514374,-16.50999999999999,-0.06406897689026814,-0.2824072757346414,153.639751858243,129.93124814175704,39.54458546303428
2022-03-31,ALGN,0.13799360678326256,0.3830394450058502,0.03662487605171957,0.02259610385546085,0.017464709676963442,0.0067595350467026805,2276562000,134298000,198082000,0.3830394450058502,0.005131394178497409,1.2603134546284032,0.01339651632593358,0.6208491643513292,63.909201924079284,35.276245120574096,1125.697160469539,9.362666396134886,444.96,451.61,435.78,436.0,696327,46.56793071042138,0.3873155368164385,1.71,34.03863249599959,-0.7217241116557872,34331512000.0,0.7066115702479339,0.7032744906027932,0.9438657199745126,1.0121836832827542,-0.8882238894040293,0.04400648903798383,894800.15,-243392.08333333337,4404.4523026045645,19.088571428571438,0.01695681310871024,939719.0833333334,-0.3178099733215176,-0.00529683288869196,0.0013179828746554376,-0.19599461440406143,-0.40893429967983924,0.3329400293804269,-0.5620258817285158,-0.30072173215717724,56383145.0,-0.004906757678307283,-187.5,-0.09812562373232803,-39.05320512129191,572.9078895844725,390.6107770821941,42.30919727176726
2022-06-30,ALGN,0.11634227319187296,0.3805495205864114,0.03134133407944972,0.019414404420976576,-0.0024517570122057743,-0.019715248312106803,2211038000,112800000,188196000,0.3805495205864114,0.02186616143318235,1.2808995485548496,0.057459437603514726,0.6143340480528223,41.12088796542553,19.136390326263754,146.04073084340195,5.155133949472101,240.67,243.65,232.62,236.67,835861,45.90957331462466,1.6205752917915683,1.44,33.19039479558646,0.650870591236686,18553744650.0,0.8421052631578947,0.8399231559665817,0.9962331191643402,0.9815179341844176,3.165682995606269,0.03665249558809059,1194432.2,-307182.6000000001,87180.29287580773,10.828571428571427,0.021904936518661718,1143043.6,-0.5809683933423254,-0.009682806555705423,0.0015825433970488125,-0.27413863919280185,2.149818742896875,-0.554485147781241,-0.623153249269552,-0.46862300455780326,68582616.0,-0.008790517488122651,-208.72,-0.03126290980897606,-55.267855714318614,431.03790023846045,174.18293309487288,37.961418635576756
